,Id,Fold1-TierI,Fold1-seed0,Fold1-seed1,Fold1-seed2,Fold1-seed3,Fold1-seed4,Fold2-TierI,Fold2-seed0,Fold2-seed1,Fold2-seed2,Fold2-seed3,Fold2-seed4,Fold3-TierI,Fold3-seed0,Fold3-seed1,Fold3-seed2,Fold3-seed3,Fold3-seed4,Fold4-TierI,Fold4-seed0,Fold4-seed1,Fold4-seed2,Fold4-seed3,Fold4-seed4,Fold5-TierI,Fold5-seed0,Fold5-seed1,Fold5-seed2,Fold5-seed3,Fold5-seed4
0,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000536_01m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,train,train,train,train,train,Train,,,,,
1,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000536_05m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,train,train,train,train,train,Train,,,,,
2,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000536_03m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,train,train,train,train,train,Train,,,,,
3,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000536_04m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,train,train,train,train,train,Train,,,,,
4,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000536_02m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,train,train,train,train,train,Train,,,,,
5,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000578_04m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,train,train,train,train,train
6,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000578_01m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,train,train,train,train,train
7,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000578_02m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,train,train,train,train,train
8,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000578_05m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,train,train,train,train,train
9,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-000578_03m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,train,train,train,train,train
10,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005979_03m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,,,,,
11,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005979_02m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,,,,,
12,/opt/ImageBase/AWS_sync/cropped/aedes/aegypti/JHU-005979_04m.jpg,Train,,,,,,,U2 test,N,N,U2 test,U2 test,Train,,,,,,Train,,,,,,Train,,,,,
