Specimen,Taxon,ID-Type,ExternalCode,Source
JHU-000001,,,ALEX,WILD_CAUGHT
JHU-000002,,,ALEX,WILD_CAUGHT
JHU-000003,,,ALEX,WILD_CAUGHT
JHU-000004,,,ALEX,WILD_CAUGHT
JHU-000005,,,ALEX,WILD_CAUGHT
JHU-000006,,,ALEX,WILD_CAUGHT
JHU-000007,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000008,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000009,culex pipiens,DNA,BENN,WILD_CAUGHT
JHU-000010,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000011,aedes vexans,DNA,BENN,WILD_CAUGHT
JHU-000012,culex erraticus,DNA,BENN,WILD_CAUGHT
JHU-000013,anopheles crucians_c,DNA,BENN,WILD_CAUGHT
JHU-000014,anopheles crucians_c,DNA,BENN,WILD_CAUGHT
JHU-000015,culex pipiens,DNA,BENN,WILD_CAUGHT
JHU-000016,anopheles crucians_a,DNA,BENN,WILD_CAUGHT
JHU-000017,psorophora ferox,DNA,BENN,WILD_CAUGHT
JHU-000018,coquillettidia perturbans,DNA,BENN,WILD_CAUGHT
JHU-000019,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000020,culex pipiens,DNA,BENN,WILD_CAUGHT
JHU-000021,anopheles punctipennis,Human,BENN,WILD_CAUGHT
JHU-000022,culex quinquefasciatus,Human,BENN,WILD_CAUGHT
JHU-000023,psorophora columbiae,DNA,BENN,WILD_CAUGHT
JHU-000024,aedes vexans,DNA,BENN,WILD_CAUGHT
JHU-000025,culex erraticus,DNA,BENN,WILD_CAUGHT
JHU-000026,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000027,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000028,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000029,aedes albopictus,DNA,BENN,WILD_CAUGHT
JHU-000030,anopheles crucians_a,DNA,BENN,WILD_CAUGHT
JHU-000031,anopheles crucians_a,DNA,BENN,WILD_CAUGHT
JHU-000032,anopheles crucians_sl,Human,BENN,WILD_CAUGHT
JHU-000033,culex coronator,DNA,BENN,WILD_CAUGHT
JHU-000034,anopheles punctipennis,DNA,BENN,WILD_CAUGHT
JHU-000035,aedes taeniorhynchus,DNA,STEW,WILD_CAUGHT
JHU-000036,culex coronator,DNA,STEW,WILD_CAUGHT
JHU-000037,culex salinarius,DNA,STEW,WILD_CAUGHT
JHU-000038,aedes taeniorhynchus,DNA,STEW,WILD_CAUGHT
JHU-000039,aedes canadensis,DNA,MERI,WILD_CAUGHT
JHU-000040,aedes canadensis,DNA,MERI,WILD_CAUGHT
JHU-000041,anopheles quadrimaculatus,DNA,MERI,WILD_CAUGHT
JHU-000042,psorophora ferox,DNA,MERI,WILD_CAUGHT
JHU-000043,psorophora ferox,DNA,MERI,WILD_CAUGHT
JHU-000044,psorophora ferox,DNA,MERI,WILD_CAUGHT
JHU-000045,aedes albopictus,DNA,MERI,WILD_CAUGHT
JHU-000046,aedes albopictus,DNA,MERI,WILD_CAUGHT
JHU-000047,aedes albopictus,DNA,MERI,WILD_CAUGHT
JHU-000048,psorophora ferox,DNA,MERI,WILD_CAUGHT
JHU-000049,psorophora ferox,DNA,MERI,WILD_CAUGHT
JHU-000050,anopheles quadrimaculatus,DNA,MERI,WILD_CAUGHT
JHU-000051,aedes vexans,DNA,MERI,WILD_CAUGHT
JHU-000052,aedes atlanticus,DNA,MERI,WILD_CAUGHT
JHU-000053,aedes canadensis,DNA,MERI,WILD_CAUGHT
JHU-000054,aedes atlanticus,DNA,MERI,WILD_CAUGHT
JHU-000055,aedes atlanticus,DNA,MERI,WILD_CAUGHT
JHU-000056,aedes atlanticus,DNA,MERI,WILD_CAUGHT
JHU-000057,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000058,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000059,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000060,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000061,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000062,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000063,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000064,aedes albopictus,DNA,BELV,WILD_CAUGHT
JHU-000065,aedes albopictus,DNA,BELV,WILD_CAUGHT
JHU-000066,culex pipiens,DNA,BELV,WILD_CAUGHT
JHU-000067,culex pipiens,DNA,BELV,WILD_CAUGHT
