,0
0,JHU-005986
1,JHU-005952
2,JHU-001913
3,JHU-005883
4,JHU-000558
5,JHU-001855
6,JHU-000569
7,JHU-007513
8,JHU-000619
9,JHU-000602
10,JHU-000572
11,JHU-000560
12,JHU-000596
13,JHU-005894
14,JHU-007501
15,JHU-000557
16,JHU-007516
17,JHU-000620
18,JHU-000621
19,JHU-001852
20,JHU-000575
21,JHU-001870
22,JHU-005979
23,JHU-007511
24,JHU-000585
25,JHU-005980
26,JHU-000589
27,JHU-001853
28,JHU-000541
29,JHU-000593
30,JHU-005851
31,JHU-001849
32,JHU-001866
33,JHU-005896
34,JHU-000579
35,JHU-000577
36,JHU-005854
37,JHU-000534
38,JHU-000666
39,JHU-000562
40,JHU-001857
41,JHU-000587
42,JHU-005981
43,JHU-000561
44,JHU-000550
45,JHU-000544
46,JHU-000568
47,JHU-005994
48,JHU-001861
49,JHU-000547
50,JHU-001846
51,JHU-000542
52,JHU-000594
53,JHU-001863
54,JHU-000659
55,JHU-000570
56,JHU-000564
57,JHU-001869
58,JHU-005975
59,JHU-005987
60,JHU-000578
61,JHU-000609
62,JHU-005844
63,JHU-005967
64,JHU-000533
65,JHU-005915
66,JHU-000576
67,JHU-000583
68,JHU-000617
69,JHU-007515
70,JHU-000592
71,JHU-000553
72,JHU-000554
73,JHU-005897
74,JHU-000571
75,JHU-001847
76,JHU-005898
77,JHU-000601
78,JHU-000624
79,JHU-007517
80,JHU-005817
81,JHU-001856
82,JHU-000574
83,JHU-005818
84,JHU-000623
85,JHU-000581
86,JHU-000626
87,JHU-005973
88,JHU-005978
89,JHU-000546
90,JHU-000597
91,JHU-005982
92,JHU-005961
93,JHU-000539
94,JHU-005989
95,JHU-000590
96,JHU-001844
97,JHU-000545
98,JHU-005895
99,JHU-000614
100,JHU-005834
101,JHU-005830
102,JHU-005977
103,JHU-000566
104,JHU-005956
105,JHU-000580
106,JHU-000608
107,JHU-005853
108,JHU-005974
109,JHU-000586
110,JHU-000591
111,JHU-000563
112,JHU-005850
113,JHU-000606
114,JHU-000548
115,JHU-000582
116,JHU-005816
117,JHU-000556
118,JHU-005966
119,JHU-000604
120,JHU-005959
121,JHU-000618
122,JHU-000559
123,JHU-005983
124,JHU-000543
125,JHU-000616
126,JHU-005773
127,JHU-005991
128,JHU-005832
129,JHU-000627
130,JHU-005972
131,JHU-001848
132,JHU-005988
133,JHU-000599
134,JHU-000537
135,JHU-000656
136,JHU-005962
137,JHU-001860
